JWMNP,HINCP,AGEP,HUPAOC,NATIVITY,SEX,SCHL,PUMA,ST,
0,190000,45,2,1,1,23,03810,36,
0,190000,13,2,1,2,10,03810,36,
0,190000,10,2,1,1,6,03810,36,
0,300000,39,4,2,1,22,03810,36,
0,36900,83,4,1,2,22,03810,36,
30,134000,30,4,1,1,21,03810,36,
0,85100,30,4,1,1,21,03810,36,
15,61600,42,4,2,1,21,03810,36,
1,61600,39,4,2,1,23,03810,36,
0,61600,74,4,2,2,16,03810,36,
10,412000,62,4,1,2,23,03810,36,
0,412000,66,4,2,1,23,03810,36,
35,220000,26,4,1,1,21,03810,36,
35,220000,26,4,1,1,21,03810,36,
0,179800,69,4,1,2,22,03810,36,
0,125000,40,4,1,1,23,03810,36,
30,101900,24,4,1,1,21,03810,36,
15,101900,23,4,1,2,21,03810,36,
25,191600,53,4,1,2,20,03810,36,
10,191600,70,4,1,1,24,03810,36,
0,175000,23,4,1,2,21,03810,36,
0,175000,22,4,1,2,21,03810,36,
0,175000,22,4,1,2,21,03810,36,
20,150000,26,4,1,1,21,03810,36,
25,97000,27,4,1,2,21,03810,36,
3,30000,27,4,2,1,24,03810,36,
40,37900,58,4,1,2,21,03810,36,
20,60000,26,4,1,1,21,03810,36,
0,108000,24,4,2,1,21,03810,36,
0,108000,22,4,1,2,19,03810,36,
0,73800,82,4,1,2,21,03810,36,
0,192700,75,4,1,2,22,03810,36,
0,0,64,4,1,1,19,03810,36,
0,287500,25,4,1,2,21,03810,36,
0,287500,25,4,1,1,21,03810,36,
10,223000,67,4,1,1,19,03810,36,
5,223000,67,4,1,2,19,03810,36,
0,223000,25,4,1,1,21,03810,36,
10,223000,24,4,1,2,19,03810,36,
0,60300,87,4,2,1,21,03810,36,
60,251000,42,4,1,2,22,03810,36,
0,130800,70,4,2,2,22,03810,36,
15,130800,70,4,1,1,22,03810,36,
0,303000,61,4,1,2,21,03810,36,
0,303000,68,4,1,1,21,03810,36,
0,155000,64,4,1,1,22,03810,36,
45,155000,63,4,1,1,21,03810,36,
0,309000,72,4,1,2,21,03810,36,
0,309000,75,4,1,1,24,03810,36,
0,30000,29,4,1,1,23,03810,36,
25,70000,22,4,1,1,21,03810,36,
25,137000,59,4,2,2,23,03810,36,
20,634000,31,1,1,1,21,03810,36,
0,634000,30,1,1,2,22,03810,36,
0,634000,1,1,1,1,0,03810,36,
0,76480,75,4,1,2,21,03810,36,
0,647000,51,4,2,1,22,03810,36,
0,647000,50,4,2,2,22,03810,36,
0,2000,21,4,1,2,21,03810,36,
0,120000,26,4,1,1,21,03810,36,
0,176000,74,4,1,1,23,03810,36,
0,176000,65,4,2,2,21,03810,36,
0,520000,35,4,1,1,21,03810,36,
20,520000,34,4,1,2,23,03810,36,
0,104000,90,4,1,2,21,03810,36,
0,1268000,44,3,1,1,21,03810,36,
0,1268000,44,3,1,2,21,03810,36,
0,1268000,7,3,1,1,4,03810,36,
0,1268000,5,3,1,2,3,03810,36,
0,1100,52,4,1,1,19,03810,36,
12,634000,46,4,1,1,22,03810,36,
0,634000,47,4,1,2,22,03810,36,
20,639000,65,4,1,1,22,03810,36,
0,41000,86,4,1,2,21,03810,36,
0,634000,55,4,2,2,19,03810,36,
0,326200,67,4,1,1,22,03810,36,
30,326200,59,4,1,2,22,03810,36,
45,674300,47,2,1,2,23,03810,36,
0,674300,52,2,1,1,23,03810,36,
0,674300,13,2,1,2,9,03810,36,
0,674300,10,2,1,2,6,03810,36,
0,674300,8,2,1,2,4,03810,36,
45,63000,65,4,1,2,23,03810,36,
10,197500,33,4,1,1,24,03810,36,
0,35020,23,4,1,1,21,03810,36,
0,35020,22,4,1,2,21,03810,36,
0,201000,68,4,1,1,23,03810,36,
0,201000,68,4,1,2,23,03810,36,
0,201000,26,4,1,1,19,03810,36,
0,67000,77,4,1,1,19,03810,36,
0,67000,71,4,1,2,16,03810,36,
0,12000,71,4,1,1,21,03810,36,
15,142100,33,4,2,2,22,03810,36,
0,150000,24,4,1,1,21,03810,36,
0,51200,67,4,1,2,21,03810,36,
0,51200,67,4,1,1,1,03810,36,
0,116000,27,4,1,2,21,03810,36,
55,116000,26,4,2,2,21,03810,36,
0,498000,47,2,1,2,22,03810,36,
0,498000,42,2,2,1,22,03810,36,
0,498000,8,2,1,2,5,03810,36,
0,80000,30,4,1,2,21,03810,36,
0,80000,72,4,2,1,21,03810,36,
0,80000,71,4,2,2,21,03810,36,
25,1288850,32,4,1,2,23,03810,36,
25,1288850,35,4,1,1,22,03810,36,
0,239000,79,4,2,1,21,03810,36,
0,239000,76,4,2,2,21,03810,36,
0,120800,76,4,1,2,16,03810,36,
0,120800,80,4,1,1,22,03810,36,
0,-1950,51,3,1,1,21,03810,36,
0,-1950,46,3,1,2,21,03810,36,
0,-1950,11,3,1,1,7,03810,36,
0,-1950,4,3,1,2,2,03810,36,
0,437000,63,2,1,1,24,03810,36,
0,437000,58,2,1,2,24,03810,36,
0,437000,13,2,2,2,9,03810,36,
30,784000,47,4,1,1,21,03810,36,
30,784000,34,4,1,2,21,03810,36,
0,89000,95,4,2,2,21,03810,36,
1,28000,83,4,1,1,16,03810,36,
0,28000,78,4,1,2,16,03810,36,
0,73640,69,4,1,2,23,03810,36,
0,1048000,64,4,1,2,21,03810,36,
0,1048000,64,4,1,1,20,03810,36,
15,126090,28,4,1,1,21,03810,36,
0,54000,27,4,1,2,21,03810,36,
60,476200,27,4,2,1,21,03810,36,
0,476200,27,4,1,1,21,03810,36,
0,140700,77,4,1,2,24,03810,36,
45,634000,35,1,1,1,23,03810,36,
0,634000,38,1,1,2,23,03810,36,
0,634000,5,1,1,2,2,03810,36,
0,634000,5,1,1,2,2,03810,36,
0,634000,2,1,1,2,0,03810,36,
0,119300,63,4,1,2,22,03810,36,
0,119300,65,4,1,2,24,03810,36,
0,119300,25,4,1,1,21,03810,36,
25,100000,29,4,1,2,21,03810,36,
